Key,en,de,it,ru,es,fr,pt,pl,cs,th,hu
Boon / Ancients,Boon of the Ancients,,,,,,,,,,
Boon / Athena,Boon of Athena,,,,,,,,,,
Boon / Destiny,Boon of Destiny,,,,,,,,,,
Boon / Hades,Boon of Hades,,,,,,,,,,
Boon / Hermes,Boon of Hermes,,,,,,,,,,
Boon / Morrígan,Boon of the Morrígan,,,,,,,,,,
Boon / Osiris,Boon of Osiris,,,,,,,,,,
Boon / Persephone,Boon of Persephone,,,,,,,,,,
Boon / Thoth,Boon of Thoth,,,,,,,,,,
Ultimatum / Agony,Ultimatum of Agony,,,,,,,,,,
Ultimatum / Broken Promises,Ultimatum of Broken Promises,,,,,,,,,,
Ultimatum / Broken Veil,Ultimatum of the Broken Veil,,,,,,,,,,
Ultimatum / Chaos,Ultimatum of Chaos,,,,,,,,,,
Ultimatum / Disaster,Ultimatum of Disaster,,,,,,,,,,
Ultimatum / Dread,Ultimatum of Dread,,,,,,,,,,
Ultimatum / Failure,Ultimatum of Failure,,,,,,,,,,
Ultimatum / Finality,Ultimatum of Finality,,,,,,,,,,
Ultimatum / Forbidden Knowledge,Ultimatum of Forbidden Knowledge,,,,,,,,,,
Ultimatum / Hardship,Ultimatum of Hardship,,,,,,,,,,
Ultimatum / Highlander,Ultimatum of the Highlander,,,,,,,,,,
Ultimatum / Induction,Ultimatum of Induction,,,,,,,,,,
Ultimatum / Malevolence,Ultimatum of Malevolence,,,,,,,,,,
Ultimatum / Orthodoxy,Ultimatum of Orthodoxy,,,,,,,,,,
Ultimatum / The Scream,Ultimatum of the Scream,,,,,,,,,,
Ultimatum / Spiral,Ultimatum of the Spiral,,,,,,,,,,
Ultimatum / Survival,Ultimatum of Survival,,,,,,,,,,
Ultimatum / Ultimatums,Ultimatum of Ultimatums,,,,,,,,,,
Refraction / Ultimatum of Invisibility,Ultimatum of Invisibility,,,,,,,,,,
Refraction / Ultimatum of Multiplication,Ultimatum of Multiplication,,,,,,,,,,
Refraction / Ultimatum of Death,Ultimatum of Death,,,,,,,,,,
Refraction / Ultimatum of the Man,Ultimatum of the Man,,,,,,,,,,
Refraction / Ultimatum of the Unspeakable Name,Ultimatum of the Unspeakable Name,,,,,,,,,,
Refraction / Ultimatum of Venom,Ultimatum of Venom,,,,,,,,,,
Refraction / Ultimatum of the Drowned,Ultimatum of the Drowned,,,,,,,,,,
Refraction / Ultimatum of Annoyance,Ultimatum of Annoyance,,,,,,,,,,
Refraction / Boon of the Dreamer,Boon of the Dreamer,,,,,,,,,,
Refraction / Boon of Atonement,Boon of Atonement,,,,,,,,,,
Refraction / Boon of the Dance,Boon of the Dance,,,,,,,,,,
Refraction / Boon of Bliss,Boon of Bliss,,,,,,,,,,
Refraction / Boon of the Miners,Boon of the Miners,,,,,,,,,,
Refraction / Ultimatum of the Brass Crown,Ultimatum of the Brass Crown,,,,,,,,,,
Refraction / Ultimatum of Ambuscade,Ultimatum of Ambuscade,,,,,,,,,,
Refraction / Ultimatum of Spoilage,Ultimatum of Spoilage,,,,,,,,,,
